depth,bound_min,bound_max,n_obs,antarbodh_rmse,glorys_rmse,rmse_improvement_pct,antarbodh_mae,glorys_mae,mae_improvement_pct,antarbodh_bias,glorys_bias,antarbodh_corr,glorys_corr
0.0,0.0,2.5,3024,0.6214508251439474,0.265041563059155,-134.47297019043197,0.5177074493536404,0.1757533035211512,-194.56484685156227,0.39513676280439153,-0.0562913897733348,0.9190363900565212,0.9537397478220312
5.0,2.5,7.5,6282,0.6289141671314363,0.24901160929975444,-152.56419525981374,0.5212075781130913,0.1728247031989066,-201.58164224545226,0.41014465880563505,-0.05167492033735195,0.9164797639040126,0.9546644996216657
10.0,7.5,12.5,4318,0.6580914193359251,0.2395146262154953,-174.76043101594524,0.5436287878130849,0.16421649659236365,-231.04395666322145,0.43713143875799243,-0.03155492798896152,0.909394711430528,0.9538778393025236
20.0,17.5,22.5,1101,0.6970653704927944,0.2659368381370688,-162.1168903773737,0.5707736088531989,0.1886799746533258,-202.50884329506565,0.4475282475663166,0.034326478988318615,0.8155708407646785,0.9108426975842301
30.0,27.5,32.5,1089,0.560855680344099,0.3051475311739373,-83.79820350714404,0.4386782338845549,0.21067013272779955,-108.22991289959344,0.2701412970533247,0.07554913529146506,0.743704108013222,0.8612451569103667
50.0,37.5,62.5,6996,0.7586524055318025,0.6112455628299539,-24.115813948715168,0.5783884666359992,0.4216807772278715,-37.16263530870999,-0.15376982560909966,0.13169084687020272,0.6258065545853747,0.7680754807987151
75.0,62.5,87.5,7806,1.2606105704315163,1.0688499492141796,-17.940836443723402,0.9960980285087854,0.7778211413870147,-28.06260662091778,-0.2046332222786078,0.3979523416691647,0.7308646505288683,0.8395235734365192
100.0,87.5,112.5,7002,1.4194956310969278,1.299267778280259,-9.2535083857621,1.1029415690515003,1.011303531812641,-9.061378147726721,-0.05251271399981699,0.6568439624357113,0.7837737195610293,0.8698472840964995
125.0,112.5,137.5,7805,1.2901264560835952,1.1507453609909428,-12.112244795201867,1.00204907132023,0.8919649623222335,-12.341752607792133,-0.10556499581029868,0.5596897482478208,0.8095944286878708,0.8798293207563384
150.0,137.5,162.5,6955,1.103009388414085,0.9026118727785095,-22.201958746530995,0.864050883254482,0.7002642568592703,-23.389259810261503,-0.2409021314082788,0.3443751570957212,0.806506754952485,0.8753638591814539
200.0,150.0,250.0,25204,0.7718470294358512,0.7278642052991093,-6.0427238785107535,0.5961125581179814,0.5837695713934982,-2.1143593858480214,0.005731149022576439,0.40737744169509976,0.9121135542537651,0.9470109127846301
300.0,250.0,350.0,19516,0.3403204886434624,0.38774207285808315,12.230187935261135,0.2601653702201679,0.29219940899059405,10.963074456956665,0.10553856800492381,0.21644035014978635,0.8712319771823199,0.896478300697919
500.0,450.0,550.0,15809,0.19048860871180648,0.23297812150333017,18.237554890284557,0.14762084881745208,0.1379070686091218,-7.043714514636388,-0.010233975115376678,-0.014701564872657611,0.7848247514119043,0.7553737852278589
700.0,650.0,750.0,15816,0.2045558263295825,0.27837512965867106,26.51792328560454,0.15800892080875234,0.1635557875893833,3.391421888754377,-0.052614613604668035,-0.1209268528230161,0.7016177577218703,0.6741272317357084
1000.0,950.0,1050.0,7761,0.19988504743121513,0.2741421144707845,27.08707021645264,0.15215278681075511,0.14027433521709012,-8.468014890451462,-0.06015837873289909,-0.0858229330581711,0.3693495495986826,0.46725054705875346
